employee_id,skill_profile,recommended_skill_1,recommended_skill_1_name,recommended_skill_1_demand_score,recommended_skill_1_category,recommended_skill_2,recommended_skill_2_name,recommended_skill_2_demand_score,recommended_skill_2_category,recommended_skill_3,recommended_skill_3_name,recommended_skill_3_demand_score,recommended_skill_3_category
EMP00001,modern,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00002,modern,SK004,Generative AI Solutions,93,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI,SK005,AWS Cloud Architecture,85,Cloud
EMP00003,modern,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00004,modern,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00005,modern,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00006,balanced,SK003,MLOps,90,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI,SK005,AWS Cloud Architecture,85,Cloud
EMP00007,balanced,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00008,balanced,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00009,modern,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00010,modern,SK001,LLM Application Development,95,AI/GenAI,SK003,MLOps,90,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00011,balanced,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00012,modern,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00013,legacy,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00014,modern,SK001,LLM Application Development,95,AI/GenAI,SK003,MLOps,90,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00015,balanced,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00016,modern,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00017,balanced,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00018,legacy,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00019,modern,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00020,balanced,SK004,Generative AI Solutions,93,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI,SK005,AWS Cloud Architecture,85,Cloud
EMP00021,balanced,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00022,balanced,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00023,legacy,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00024,modern,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK005,AWS Cloud Architecture,85,Cloud
EMP00025,modern,SK001,LLM Application Development,95,AI/GenAI,SK003,MLOps,90,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00026,legacy,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00027,balanced,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00028,legacy,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00029,modern,SK004,Generative AI Solutions,93,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI,SK005,AWS Cloud Architecture,85,Cloud
EMP00030,balanced,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00031,legacy,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00032,legacy,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00033,balanced,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00034,balanced,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00035,modern,SK001,LLM Application Development,95,AI/GenAI,SK003,MLOps,90,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00036,legacy,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00037,modern,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00038,modern,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00039,balanced,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00040,balanced,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00041,modern,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00042,modern,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00043,balanced,SK001,LLM Application Development,95,AI/GenAI,SK003,MLOps,90,AI/GenAI,SK006,Azure Cloud Administration,80,Cloud
EMP00044,modern,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00045,balanced,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00046,balanced,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00047,balanced,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00048,balanced,SK001,LLM Application Development,95,AI/GenAI,SK003,MLOps,90,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00049,modern,SK004,Generative AI Solutions,93,AI/GenAI,SK005,AWS Cloud Architecture,85,Cloud,SK006,Azure Cloud Administration,80,Cloud
EMP00050,modern,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00051,legacy,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00052,modern,SK001,LLM Application Development,95,AI/GenAI,SK003,MLOps,90,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00053,balanced,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00054,modern,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00055,balanced,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00056,legacy,SK001,LLM Application Development,95,AI/GenAI,SK003,MLOps,90,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00057,legacy,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00058,legacy,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00059,legacy,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00060,balanced,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00061,balanced,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00062,balanced,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00063,legacy,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00064,legacy,SK001,LLM Application Development,95,AI/GenAI,SK003,MLOps,90,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00065,modern,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00066,legacy,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00067,modern,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00068,modern,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00069,modern,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00070,modern,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00071,legacy,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00072,modern,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00073,balanced,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00074,legacy,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00075,balanced,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00076,balanced,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00077,balanced,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00078,balanced,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00079,legacy,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00080,modern,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00081,modern,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00082,balanced,SK004,Generative AI Solutions,93,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI,SK005,AWS Cloud Architecture,85,Cloud
EMP00083,legacy,SK001,LLM Application Development,95,AI/GenAI,SK003,MLOps,90,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00084,balanced,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00085,modern,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00086,legacy,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00087,balanced,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00088,modern,SK001,LLM Application Development,95,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI,SK007,GCP Data Engineering,78,Cloud
EMP00089,balanced,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00090,balanced,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00091,legacy,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00092,balanced,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00093,modern,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI,SK005,AWS Cloud Architecture,85,Cloud
EMP00094,legacy,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00095,modern,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00096,legacy,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00097,legacy,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00098,legacy,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00099,modern,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
EMP00100,legacy,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK003,MLOps,90,AI/GenAI
EMP00101,balanced,SK001,LLM Application Development,95,AI/GenAI,SK004,Generative AI Solutions,93,AI/GenAI,SK002,Prompt Engineering,88,AI/GenAI
