employee_id,assignment_id,snapshot_date,utilization_pct,days_remaining_in_project,experience_years,experience_band,tenure_at_company_days,historical_bench_count,historical_bench_days_total,skill_demand_score,skill_profile,bench_risk_label
EMP00001,ASG000001,2022-04-16,97,43,4,Mid,150,0,0,70.3,modern,0
EMP00001,ASG000002,2022-09-20,98,28,4,Mid,307,0,0,70.3,modern,0
EMP00001,ASG000003,2023-01-22,94,28,4,Mid,431,0,0,70.3,modern,0
EMP00001,ASG000004,2023-08-28,79,41,4,Mid,649,0,0,70.3,modern,0
EMP00001,ASG000005,2023-12-17,80,33,4,Mid,760,0,0,70.3,modern,0
EMP00001,ASG000006,2024-03-01,94,23,4,Mid,835,0,0,70.3,modern,0
EMP00001,ASG000007,2024-11-19,74,21,4,Mid,1098,0,0,70.3,modern,1
EMP00001,ASG000008,2025-03-17,79,31,4,Mid,1216,1,25,70.3,modern,0
EMP00001,ASG000009,2025-05-17,71,38,4,Mid,1277,1,25,70.3,modern,0
EMP00001,ASG000010,2025-12-16,91,42,4,Mid,1490,1,25,70.3,modern,0
EMP00001,ASG000011,2026-05-28,73,19,4,Mid,1653,1,25,70.3,modern,0
EMP00002,ASG000013,2024-10-05,70,17,1,Junior,87,0,0,85.0,modern,0
EMP00002,ASG000014,2025-04-17,72,30,1,Junior,281,0,0,85.0,modern,0
EMP00002,ASG000015,2025-09-10,78,44,1,Junior,427,0,0,85.0,modern,1
EMP00002,ASG000016,2026-04-07,99,38,1,Junior,636,1,4,85.0,modern,0
EMP00003,ASG000018,2017-07-27,95,32,9,Senior,224,0,0,72.0,modern,1
EMP00003,ASG000019,2018-02-12,86,23,9,Senior,424,1,16,72.0,modern,0
EMP00003,ASG000020,2018-04-07,91,29,9,Senior,478,1,16,72.0,modern,0
EMP00003,ASG000021,2018-08-02,84,29,9,Senior,595,1,16,72.0,modern,0
EMP00003,ASG000022,2018-10-26,89,29,9,Senior,680,1,16,72.0,modern,0
EMP00003,ASG000023,2019-06-07,94,25,9,Senior,904,1,16,72.0,modern,0
EMP00003,ASG000024,2019-07-24,92,43,9,Senior,951,1,16,72.0,modern,0
EMP00003,ASG000025,2020-04-15,91,42,9,Senior,1217,1,16,72.0,modern,1
EMP00003,ASG000026,2021-01-06,75,20,9,Senior,1483,2,42,72.0,modern,0
EMP00003,ASG000027,2021-03-01,91,37,9,Senior,1537,2,42,72.0,modern,0
EMP00003,ASG000028,2021-07-31,92,43,9,Senior,1689,2,42,72.0,modern,0
EMP00003,ASG000029,2021-10-31,97,38,9,Senior,1781,2,42,72.0,modern,1
EMP00003,ASG000030,2022-07-29,95,38,9,Senior,2052,3,56,72.0,modern,0
EMP00003,ASG000031,2022-12-12,78,39,9,Senior,2188,3,56,72.0,modern,0
EMP00003,ASG000032,2023-08-15,100,24,9,Senior,2434,3,56,72.0,modern,0
EMP00003,ASG000033,2023-12-31,81,35,9,Senior,2572,3,56,72.0,modern,0
EMP00003,ASG000034,2024-03-05,86,38,9,Senior,2637,3,56,72.0,modern,0
EMP00003,ASG000035,2024-06-24,90,35,9,Senior,2748,3,56,72.0,modern,0
EMP00003,ASG000036,2024-11-29,93,43,9,Senior,2906,3,56,72.0,modern,0
