assignment_id,employee_id,project_id,start_date,end_date,utilization_pct
ASG000001,EMP00001,PRJ0165,2021-11-17,2022-05-29,97
ASG000002,EMP00001,PRJ0124,2022-05-29,2022-10-18,98
ASG000003,EMP00001,PRJ0224,2022-10-18,2023-02-19,94
ASG000004,EMP00001,PRJ0096,2023-02-19,2023-10-08,79
ASG000005,EMP00001,PRJ0142,2023-10-08,2024-01-19,80
ASG000006,EMP00001,PRJ0240,2024-01-19,2024-03-24,94
ASG000007,EMP00001,PRJ0027,2024-03-24,2024-12-10,74
ASG000008,EMP00001,PRJ0183,2025-01-04,2025-04-17,79
ASG000009,EMP00001,PRJ0217,2025-04-17,2025-06-24,71
ASG000010,EMP00001,PRJ0133,2025-06-24,2026-01-27,91
ASG000011,EMP00001,PRJ0218,2026-01-27,2026-06-16,73
ASG000012,EMP00001,PRJ0032,2026-06-16,2026-06-18,70
ASG000013,EMP00002,PRJ0073,2024-07-10,2024-10-22,70
ASG000014,EMP00002,PRJ0022,2024-10-22,2025-05-17,72
ASG000015,EMP00002,PRJ0196,2025-05-17,2025-10-24,78
ASG000016,EMP00002,PRJ0042,2025-10-28,2026-05-15,99
ASG000017,EMP00002,PRJ0070,2026-05-15,2026-06-18,88
ASG000018,EMP00003,PRJ0116,2016-12-15,2017-08-28,95
ASG000019,EMP00003,PRJ0232,2017-09-13,2018-03-07,86
ASG000020,EMP00003,PRJ0132,2018-03-07,2018-05-06,91
ASG000021,EMP00003,PRJ0038,2018-05-06,2018-08-31,84
ASG000022,EMP00003,PRJ0213,2018-08-31,2018-11-24,89
ASG000023,EMP00003,PRJ0112,2018-11-24,2019-07-02,94
ASG000024,EMP00003,PRJ0024,2019-07-02,2019-09-05,92
ASG000025,EMP00003,PRJ0243,2019-09-05,2020-05-27,91
ASG000026,EMP00003,PRJ0234,2020-06-22,2021-01-26,75
ASG000027,EMP00003,PRJ0057,2021-01-26,2021-04-07,91
ASG000028,EMP00003,PRJ0210,2021-04-07,2021-09-12,92
ASG000029,EMP00003,PRJ0116,2021-09-12,2021-12-08,97
ASG000030,EMP00003,PRJ0227,2021-12-22,2022-09-05,95
ASG000031,EMP00003,PRJ0090,2022-09-05,2023-01-20,78
ASG000032,EMP00003,PRJ0239,2023-01-20,2023-09-08,100
ASG000033,EMP00003,PRJ0007,2023-09-08,2024-02-04,81
ASG000034,EMP00003,PRJ0107,2024-02-04,2024-04-12,86
ASG000035,EMP00003,PRJ0014,2024-04-12,2024-07-29,90
ASG000036,EMP00003,PRJ0102,2024-07-29,2025-01-11,93
ASG000037,EMP00003,PRJ0129,2025-01-11,2025-06-27,90
ASG000038,EMP00003,PRJ0096,2025-06-27,2025-09-17,82
ASG000039,EMP00003,PRJ0061,2025-09-17,2026-01-03,83
ASG000040,EMP00003,PRJ0099,2026-01-03,2026-06-18,75
ASG000041,EMP00004,PRJ0021,2021-08-17,2022-02-14,97
ASG000042,EMP00004,PRJ0096,2022-02-14,2022-07-13,70
ASG000043,EMP00004,PRJ0058,2022-07-13,2023-04-05,89
ASG000044,EMP00004,PRJ0008,2023-04-05,2023-08-02,95
ASG000045,EMP00004,PRJ0082,2023-08-02,2023-10-30,71
ASG000046,EMP00004,PRJ0239,2023-11-24,2024-05-09,84
ASG000047,EMP00004,PRJ0026,2024-05-09,2024-07-21,75
ASG000048,EMP00004,PRJ0215,2024-07-21,2024-12-14,99
ASG000049,EMP00004,PRJ0183,2024-12-14,2025-04-10,99
ASG000050,EMP00004,PRJ0167,2025-04-10,2025-08-04,95
ASG000051,EMP00004,PRJ0086,2025-08-04,2026-01-08,85
ASG000052,EMP00004,PRJ0203,2026-01-08,2026-06-06,77
ASG000053,EMP00004,PRJ0038,2026-06-06,2026-06-18,85
