project_id,project_name,client_type,required_skills,start_date,end_date
PRJ0001,Manufacturing Engagement 1,Manufacturing,SK010|SK011|SK012,2025-02-16,2025-05-19
PRJ0002,Telecom Engagement 2,Telecom,SK015|SK020|SK012,2026-05-29,2026-08-31
PRJ0003,Manufacturing Engagement 3,Manufacturing,SK023|SK015|SK010,2024-09-23,2025-05-22
PRJ0004,GenAI Innovation Engagement 4,GenAI Innovation,SK007|SK009|SK012,2025-12-14,2026-03-08
PRJ0005,GenAI Innovation Engagement 5,GenAI Innovation,SK007|SK009|SK008,2025-03-09,2025-08-01
PRJ0006,Manufacturing Engagement 6,Manufacturing,SK001|SK025|SK013,2026-04-21,2026-07-12
PRJ0007,Healthcare Engagement 7,Healthcare,SK023|SK022|SK001,2025-12-30,2026-07-15
PRJ0008,BFSI Engagement 8,BFSI,SK007|SK024|SK011,2024-12-11,2025-04-30
PRJ0009,Manufacturing Engagement 9,Manufacturing,SK011|SK005|SK010,2025-09-02,2025-11-24
PRJ0010,BFSI Engagement 10,BFSI,SK021|SK009|SK014,2025-03-10,2025-11-30
PRJ0011,Healthcare Engagement 11,Healthcare,SK011|SK015|SK023,2025-02-14,2025-08-24
PRJ0012,Retail Engagement 12,Retail,SK001|SK026|SK024,2025-08-19,2025-10-26
PRJ0013,Telecom Engagement 13,Telecom,SK022|SK001|SK002,2025-07-15,2026-01-28
PRJ0014,Manufacturing Engagement 14,Manufacturing,SK007|SK014|SK025,2025-04-01,2025-09-08
PRJ0015,GenAI Innovation Engagement 15,GenAI Innovation,SK005|SK002|SK011,2024-11-27,2025-03-06
PRJ0016,Healthcare Engagement 16,Healthcare,SK011|SK004|SK016,2025-09-19,2026-02-04
PRJ0017,BFSI Engagement 17,BFSI,SK007|SK002|SK023,2025-01-13,2025-07-27
PRJ0018,Manufacturing Engagement 18,Manufacturing,SK021|SK023|SK002,2025-12-21,2026-03-25
PRJ0019,BFSI Engagement 19,BFSI,SK026|SK024|SK003,2025-07-09,2025-10-12
PRJ0020,Retail Engagement 20,Retail,SK016|SK023|SK026,2025-06-21,2025-12-19
PRJ0021,Manufacturing Engagement 21,Manufacturing,SK023|SK009|SK010,2025-11-27,2026-04-16
PRJ0022,Telecom Engagement 22,Telecom,SK007|SK001|SK020,2024-11-11,2025-03-29
PRJ0023,Manufacturing Engagement 23,Manufacturing,SK020|SK022|SK025,2024-07-23,2025-02-05
PRJ0024,Telecom Engagement 24,Telecom,SK022|SK013|SK026,2026-02-26,2026-08-26
PRJ0025,BFSI Engagement 25,BFSI,SK013|SK025|SK020,2025-12-24,2026-04-21
PRJ0026,Manufacturing Engagement 26,Manufacturing,SK007|SK019|SK012,2025-12-01,2026-02-04
PRJ0027,Healthcare Engagement 27,Healthcare,SK003|SK008|SK019,2025-11-06,2026-03-16
PRJ0028,GenAI Innovation Engagement 28,GenAI Innovation,SK002|SK012|SK001,2024-11-01,2025-01-22
PRJ0029,Healthcare Engagement 29,Healthcare,SK006|SK022|SK008,2024-11-03,2025-02-07
PRJ0030,Retail Engagement 30,Retail,SK001|SK018|SK004,2025-07-30,2025-10-16
PRJ0031,Healthcare Engagement 31,Healthcare,SK021|SK022|SK016,2024-08-31,2025-01-30
PRJ0032,Retail Engagement 32,Retail,SK012|SK003|SK024,2024-09-25,2024-12-09
PRJ0033,BFSI Engagement 33,BFSI,SK012|SK004|SK006,2025-03-14,2025-11-19
PRJ0034,Telecom Engagement 34,Telecom,SK015|SK014|SK009,2025-04-11,2025-10-21
PRJ0035,GenAI Innovation Engagement 35,GenAI Innovation,SK010|SK001|SK012,2025-10-16,2026-06-30
PRJ0036,BFSI Engagement 36,BFSI,SK013|SK026|SK023,2025-11-01,2026-05-09
PRJ0037,Telecom Engagement 37,Telecom,SK017|SK008|SK005,2024-10-21,2025-06-03
PRJ0038,Telecom Engagement 38,Telecom,SK017|SK024|SK014,2025-07-18,2026-03-28
PRJ0039,Retail Engagement 39,Retail,SK024|SK018|SK015,2025-04-19,2025-11-24
PRJ0040,Healthcare Engagement 40,Healthcare,SK006|SK023|SK021,2025-08-24,2026-05-14
PRJ0041,Healthcare Engagement 41,Healthcare,SK012|SK013|SK004,2025-10-23,2026-01-20
PRJ0042,GenAI Innovation Engagement 42,GenAI Innovation,SK011|SK003|SK006,2025-12-25,2026-07-18
PRJ0043,GenAI Innovation Engagement 43,GenAI Innovation,SK007|SK008|SK006,2025-05-22,2025-10-13
PRJ0044,Retail Engagement 44,Retail,SK010|SK004|SK008,2026-01-06,2026-03-20
PRJ0045,Retail Engagement 45,Retail,SK020|SK024|SK014,2025-07-11,2026-01-24
PRJ0046,BFSI Engagement 46,BFSI,SK026|SK017|SK008,2025-08-06,2026-01-11
PRJ0047,Retail Engagement 47,Retail,SK020|SK026|SK003,2025-03-18,2025-12-06
PRJ0048,Healthcare Engagement 48,Healthcare,SK021|SK004|SK015,2025-12-23,2026-03-12
PRJ0049,Retail Engagement 49,Retail,SK008|SK025|SK024,2024-08-22,2025-05-07
PRJ0050,Retail Engagement 50,Retail,SK011|SK007|SK021,2026-01-14,2026-07-14
PRJ0051,Telecom Engagement 51,Telecom,SK016|SK007|SK018,2025-08-13,2026-04-06
PRJ0052,Retail Engagement 52,Retail,SK002|SK007|SK017,2024-09-09,2025-02-25
